,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond
,0,1,2,3,4,5,6,7,8
Timestamp,,,,,,,,,
1701936410000,0.0,,,,,,,,
1701936415000,0.0,,,,,,,,
1701936420000,0.0,,,,,,,,
1701936425000,0.0,,,,,,,,
1701936430000,0.0,,,,,,,,
1701936435000,409.6333333333,,,,,,,,
1701936440000,1192.3333333333,,,,,,,,
1701936445000,2145.95,,,,,,,,
1701936450000,4432.15,,,,,,,,
1701936455000,5166.43333333,,,,,,,,
1701936460000,5166.43333333,,,,,,,,
1701936465000,8676.66666666,,,,,,,,
1701936470000,8676.66666666,,,,,,,,
1701936475000,10841.66666666,,,,,,,,
1701936480000,10841.66666666,,,,,,,,
1701936485000,10841.66666666,,,,,,,,
1701936490000,12998.383333329999,,,,,,,,
1701936495000,13280.533333329999,,,,,,,,
1701936500000,14486.116666659998,,,,,,,,
1701936505000,15704.06666666,,,,,,,,
1701936510000,15704.06666666,,,,,,,,
1701936515000,14040.56666666,,,,,,,,
1701936520000,15067.31666666,,,,,,,,
1701936525000,15220.883333329999,,,,,,,,
1701936530000,14761.65,,,,,,,,
1701936535000,14663.266666659998,,,,,,,,
1701936540000,16191.6,,,,,,,,
1701936545000,16191.6,,,,,,,,
1701936550000,15376.85,,,,,,,,
1701936555000,16947.71666666,,,,,,,,
1701936560000,16660.68333333,,,,,,,,
1701936565000,16834.78333333,,,,,,,,
1701936570000,17149.5,,,,,,,,
1701936575000,17149.5,,,,,,,,
1701936580000,16847.58333333,,,,,,,,
1701936585000,16866.733333329998,,,,,,,,
1701936590000,17397.1,,,,,,,,
1701936595000,16910.516666659998,,,,,,,,
1701936600000,16910.516666659998,,,,,,,,
1701936605000,16894.0,,,,,,,,
1701936610000,17054.9,,,,,,,,
1701936615000,16840.566666659997,,,,,,,,
1701936620000,16885.733333329998,,,,,,,,
1701936625000,16062.2,,,,,,,,
1701936630000,16062.2,,,,,,,,
1701936635000,16528.78333333,,,,,,,,
1701936640000,16761.4,,,,,,,,
1701936645000,16836.63333333,,,,,,,,
