,flink_taskmanager_job_task_busyTimeMsPerSecond
,TumblingEventTimeWindows____Timestamps_Watermarks
,0
Timestamp,
1737490670000,1000.0
1737490675000,0.0
1737490680000,0.0
1737490685000,43.0
1737490690000,34.0
1737490695000,95.0
1737490700000,225.0
1737490705000,334.0
1737490710000,417.0
1737490715000,482.0
1737490720000,534.0
1737490725000,576.0
1737490730000,612.0
1737490735000,697.0
1737490740000,781.0
1737490745000,851.0
1737490750000,934.0
1737490755000,989.0
1737490760000,999.0
1737490765000,1000.0
1737490770000,1000.0
1737490775000,1000.0
1737490780000,1000.0
1737490785000,1000.0
1737490790000,1000.0
1737490795000,1000.0
1737490800000,1000.0
1737490805000,1000.0
1737490810000,1000.0
1737490815000,1000.0
1737490820000,1000.0
1737490825000,1000.0
1737490830000,1000.0
1737490835000,1000.0
1737490840000,1000.0
1737490845000,1000.0
1737490850000,1000.0
1737490855000,1000.0
1737490860000,1000.0
1737490865000,1000.0
1737490870000,1000.0
1737490875000,1000.0
1737490880000,1000.0
1737490885000,1000.0
1737490890000,1000.0
1737490895000,1000.0
1737490900000,1000.0
1737490905000,1000.0
1737490910000,
