Timestamp,"('flink_taskmanager_job_task_numRecordsInPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 0)","('flink_taskmanager_job_task_numRecordsInPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 1)","('flink_taskmanager_job_task_numRecordsInPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 2)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 0)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 1)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 2)","('flink_taskmanager_job_task_hardBackPressuredTimeMsPerSecond', 2)","('flink_taskmanager_job_task_hardBackPressuredTimeMsPerSecond', 1)",flink_jobmanager_job_lastCheckpointSize,flink_jobmanager_job_lastCheckpointDuration,Parallelism
380,2570.1833333333,2413.8166666665998,,1000.0,265.0,,879.0,716.0,7654506.0,3896.0,2
385,3004.55,2914.3,,1000.0,294.0,,893.0,723.0,7654506.0,3896.0,2
390,3211.7333333333004,3200.5833333333003,,1000.0,323.0,,885.0,748.0,10196193.0,6610.0,2
395,3079.85,3105.1166666666,,1000.0,390.0,,920.0,798.0,10196193.0,6610.0,2
400,3251.7,3182.4333333333,,1000.0,411.0,,1000.0,875.0,12916905.0,12552.0,2
405,3549.31666667,3471.5833333299997,,1000.0,428.0,,979.0,844.0,14932566.0,3555.0,2
410,3394.63333333,3370.51666667,,1000.0,503.0,,929.0,814.0,14932566.0,3555.0,2
415,3112.4833333333004,3277.0,,1000.0,565.0,,957.0,941.0,14932566.0,3555.0,2
420,3339.3333333299997,3169.65,,1000.0,560.0,,1000.0,925.0,20802502.0,15103.0,2
425,3611.76666667,3572.2,,1000.0,561.0,,1000.0,888.0,20802502.0,15103.0,2
430,3743.1,3555.3,,994.0,573.0,,1000.0,886.0,22965931.0,10098.0,2
435,3949.21666667,3852.21666667,,994.0,587.0,,1000.0,880.0,7653178.0,3413.0,2
440,4170.8,4110.35,,994.0,603.0,,989.0,891.0,12367474.0,3874.0,2
445,4194.56666667,4234.08333333,,994.0,609.0,,976.0,898.0,12367474.0,3874.0,2
450,4395.46666667,4277.38333333,,994.0,617.0,,965.0,898.0,15575925.0,6076.0,2
455,4427.78333333,4405.13333333,,994.0,610.0,,961.0,900.0,11950995.0,4643.0,2
460,4419.85,4381.55,,994.0,622.0,,940.0,887.0,11950995.0,4643.0,2
465,4804.1,4656.73333333,,994.0,609.0,,926.0,881.0,16284312.0,10405.0,2
470,5397.71666667,5305.83333333,,994.0,579.0,,876.0,844.0,18937340.0,4792.0,2
475,5525.2,5384.86666667,,994.0,573.0,,852.0,735.0,22033793.0,5820.0,2
480,5124.16666667,5242.06666667,,994.0,637.0,,692.0,774.0,22033793.0,5820.0,2
485,4661.06666667,4745.16666667,,994.0,682.0,,722.0,801.0,22033793.0,5820.0,2
490,4142.23333333,4347.33333333,,1000.0,714.0,,988.0,839.0,22033793.0,5820.0,2
495,3590.86666667,3950.81666667,,1000.0,748.0,,1000.0,1000.0,21477544.0,20464.0,2
500,3554.9166666700003,3429.61666667,,1000.0,736.0,,1000.0,1000.0,22625052.0,5100.0,2
505,3265.0,3324.0333333333,,1000.0,740.0,,1000.0,1000.0,22625052.0,5100.0,2
510,2758.7666666666,2887.15,,1000.0,772.0,,1000.0,1000.0,22625052.0,5100.0,2
515,,,,,,,,,,,0
540,0.0,,,,,,0.0,0.0,,,1
545,0.0,0.0,0.0,,,,0.0,0.0,-1.0,-1.0,3
550,0.0,0.0,0.0,,,,0.0,0.0,-1.0,-1.0,3
555,0.0,0.0,0.0,,,,0.0,0.0,-1.0,-1.0,3
560,0.0,0.0,0.0,,,,0.0,0.0,-1.0,-1.0,3
565,0.0,0.0,0.0,,,,0.0,0.0,-1.0,-1.0,3
570,0.0,0.0,0.0,,,,0.0,0.0,-1.0,-1.0,3
575,0.0,0.0,0.0,,1000.0,,0.0,0.0,-1.0,-1.0,3
580,0.0,0.0,0.0,,1000.0,1000.0,0.0,0.0,-1.0,-1.0,3
585,0.0,0.0,0.0,,885.0,963.0,0.0,0.0,-1.0,-1.0,3
590,0.0,0.0,0.0,,786.0,841.0,0.0,0.0,-1.0,-1.0,3
595,0.0,0.0,0.0,1000.0,707.0,747.0,0.0,0.0,-1.0,-1.0,3
600,0.0,0.0,0.0,1000.0,641.0,672.0,0.0,0.0,-1.0,-1.0,3
605,0.0,0.0,0.0,930.0,586.0,611.0,0.0,0.0,-1.0,-1.0,3
610,0.0,0.0,0.0,847.0,502.0,558.0,0.0,0.0,-1.0,-1.0,3
615,6.85,4.583333333333,0.0,826.0,424.0,473.0,0.0,0.0,62383.0,1858.0,3
620,65.3166666667,47.3333333333,14.75,826.0,349.0,398.0,42.0,58.0,143043.0,1683.0,3
625,188.9333333333,185.1166666666,96.95,826.0,278.0,324.0,42.0,58.0,143043.0,1683.0,3
630,219.4,243.4666666666,213.05,826.0,218.0,264.0,110.0,131.0,675975.0,10140.0,3
635,417.9833333333,381.5333333333,277.95,826.0,144.0,185.0,224.0,234.0,2407850.0,5154.0,3
640,620.5666666666,599.25,474.8,826.0,78.0,126.0,262.0,282.0,3499126.0,4456.0,3
645,850.2666666665999,836.95,694.9833333332999,826.0,98.0,83.0,308.0,328.0,3260003.0,3255.0,3
650,1106.3333333333,1082.0833333333,951.8666666665999,826.0,118.0,104.0,345.0,375.0,6416350.0,4903.0,3
655,1146.25,1136.85,1122.95,826.0,188.0,148.0,415.0,454.0,6416350.0,4903.0,3
660,1146.25,1187.1833333333,1174.5666666666,826.0,192.0,190.0,499.0,538.0,6416350.0,4903.0,3
665,1155.8833333333,1187.1833333333,1174.5666666666,896.0,191.0,189.0,730.0,774.0,6416350.0,4903.0,3
670,1321.1333333333,1277.0833333333,1184.2833333332999,974.0,208.0,200.0,798.0,841.0,10205893.0,18705.0,3
675,1642.9833333333,1619.2833333332999,1414.25,995.0,232.0,225.0,832.0,898.0,4809942.0,3766.0,3
680,1750.65,1735.1,1757.5833333333,995.0,287.0,254.0,860.0,921.0,6807258.0,4619.0,3
685,1725.2666666666,1692.2833333332999,1764.4166666666,995.0,289.0,297.0,917.0,982.0,6807258.0,4619.0,3
690,1728.2833333332999,1690.9333333333,1709.4166666666,995.0,343.0,311.0,934.0,992.0,10358550.0,9031.0,3
695,1609.5833333333,1601.3666666666,1694.3666666666,995.0,371.0,380.0,981.0,1000.0,10358550.0,9031.0,3
700,1663.35,1595.4833333333,1549.75,992.0,384.0,375.0,1000.0,1000.0,14207896.0,12034.0,3
705,1818.2,1790.1833333333,1725.5,992.0,403.0,386.0,1000.0,1000.0,4761793.0,3397.0,3
710,2059.3666666666,2018.1666666666,1832.1,992.0,422.0,411.0,1000.0,1000.0,6994072.0,3110.0,3
715,2060.0,2033.6666666666,1960.0333333332999,992.0,435.0,433.0,1000.0,1000.0,6994072.0,3110.0,3
720,2554.5166666666,2418.1666666666,2163.95,992.0,473.0,449.0,1000.0,1000.0,6872966.0,2628.0,3
725,3112.3833333333,2957.3,2663.45,992.0,514.0,483.0,782.0,850.0,9092492.0,3173.0,3
730,3327.3666666666,3288.6833333333,3176.9166666666,998.0,527.0,520.0,743.0,851.0,11743162.0,3733.0,3
735,3399.43333333,3309.9333333333,3335.38333333,998.0,529.0,532.0,746.0,874.0,14501287.0,5407.0,3
740,3631.95,3546.0833333299997,3311.1833333333,998.0,498.0,530.0,712.0,884.0,13561514.0,4476.0,3
745,4041.35,3976.35,3720.76666667,998.0,536.0,519.0,646.0,862.0,19068926.0,3300.0,3
750,4286.71666667,4247.16666667,4101.35,998.0,516.0,519.0,597.0,827.0,21625515.0,4045.0,3
755,4206.83333333,4198.66666667,4150.11666667,998.0,563.0,529.0,519.0,759.0,21625515.0,4045.0,3
760,3950.48333333,3986.8333333299997,4097.88333333,1000.0,616.0,593.0,483.0,795.0,21625515.0,4045.0,3
765,3565.93333333,3554.43333333,3701.95,1000.0,654.0,647.0,526.0,827.0,21625515.0,4045.0,3
770,3068.7,3174.75,3338.46666667,1000.0,689.0,685.0,860.0,861.0,21625515.0,4045.0,3
775,3257.7666666666,3200.7166666666,3217.9833333333004,1000.0,639.0,664.0,849.0,1000.0,30726368.0,23951.0,3
780,2895.5,2836.45,3002.7666666666,1000.0,661.0,677.0,934.0,1000.0,30726368.0,23951.0,3
785,2753.7333333333004,2710.3666666666,2719.5333333333,1000.0,662.0,689.0,944.0,1000.0,34034650.0,9383.0,3
790,2794.0,2760.0666666665998,2724.95,1000.0,671.0,684.0,,,36777490.0,4853.0,3
795,,,,,,,,,36777490.0,4853.0,0
250,,,,,,,,,-1.0,-1.0,0
800,,,,,,,,,36777490.0,4853.0,0
805,,,,,,,,,,,0
