,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond
,0,1,2,3,4,5
Timestamp,,,,,,
1702714715000,0.0,,,,,
1702714720000,0.0,,,,,
1702714725000,0.0,,,,,
1702714730000,0.0,,,,,
1702714735000,122.9,,,,,
1702714740000,796.7833333333,,,,,
1702714745000,1542.4833333333,,,,,
1702714750000,3404.4,,,,,
1702714755000,5279.23333333,,,,,
1702714760000,7152.78333333,,,,,
1702714765000,8914.01666666,,,,,
1702714770000,10824.96666666,,,,,
1702714775000,12532.98333333,,,,,
1702714780000,14333.61666666,,,,,
1702714785000,16221.51666666,,,,,
1702714790000,18119.81666666,,,,,
1702714795000,19830.68333333,,,,,
1702714800000,21021.9,,,,,
1702714805000,21868.25,,,,,
1702714810000,21886.05,,,,,
1702714815000,21904.11666666,,,,,
1702714820000,21949.61666666,,,,,
1702714825000,22157.56666666,,,,,
1702714830000,22212.8,,,,,
1702714835000,22462.05,,,,,
1702714840000,22507.5,,,,,
1702714845000,22552.8,,,,,
1702714850000,22615.18333333,,,,,
1702714855000,22684.7,,,,,
1702714860000,22801.83333333,,,,,
1702714865000,23185.56666666,,,,,
1702714870000,23297.5,,,,,
1702714875000,23360.4,,,,,
1702714880000,23371.78333333,,,,,
1702714885000,23369.25,,,,,
1702714890000,23362.23333333,,,,,
1702714895000,23382.13333333,,,,,
1702714900000,23522.33333333,,,,,
1702714905000,23563.43333333,,,,,
1702714910000,23555.73333333,,,,,
1702714915000,23590.48333333,,,,,
1702714920000,23578.26666666,,,,,
1702714925000,23592.5,,,,,
1702714930000,23573.76666666,,,,,
1702714935000,23552.55,,,,,
1702714940000,23617.66666666,,,,,
1702714945000,23631.65,,,,,
1702714950000,23647.55,,,,,
1702714955000,23494.83333333,,,,,
1702714960000,23470.88333333,,,,,
1702714965000,23480.65,,,,,
1702714970000,23447.48333333,,,,,
1702714975000,23299.35,,,,,
1702714980000,23293.38333333,,,,,
1702714985000,23296.01666666,,,,,
1702714990000,23307.5,,,,,
1702714995000,23327.43333333,,,,,
1702715000000,23304.96666666,,,,,
1702715005000,23286.766666659998,,,,,
1702715010000,23273.03333333,,,,,
1702715015000,23390.55,,,,,
1702715020000,23421.3,,,,,
1702715025000,23359.083333330003,,,,,
1702715030000,23361.883333330003,,,,,
1702715035000,23534.766666659998,,,,,
1702715040000,23520.36666666,,,,,
1702715045000,23526.9,,,,,
1702715050000,23519.96666666,,,,,
1702715055000,23526.583333330003,,,,,
1702715060000,23537.683333330002,,,,,
1702715065000,23563.28333333,,,,,
1702715070000,23592.266666659998,,,,,
1702715075000,23633.66666666,,,,,
1702715080000,23614.083333330003,,,,,
1702715085000,23686.35,,,,,
1702715090000,23733.683333330002,,,,,
1702715095000,,,,,,
1702715135000,,0.0,,,,
1702715140000,0.0,0.0,,,,
1702715145000,0.0,0.0,,,,
1702715150000,645.05,785.8833333333,,,,
1702715155000,2144.1166666666,2239.5,,,,
1702715160000,3763.9,3877.31666667,,,,
1702715165000,5407.3,5550.78333333,,,,
1702715170000,7063.81666666,7184.183333329999,,,,
1702715175000,8526.783333329999,8637.7,,,,
1702715180000,10124.86666666,10222.783333329999,,,,
1702715185000,11484.65,11632.73333333,,,,
1702715190000,13055.883333329999,13199.783333329999,,,,
1702715195000,14652.116666659998,14747.516666659998,,,,
1702715200000,16347.33333333,16480.38333333,,,,
1702715205000,17901.2,18044.55,,,,
1702715210000,18983.38333333,18961.2,,,,
1702715215000,19199.3,19207.9,,,,
1702715220000,19142.566666659997,19147.9,,,,
1702715225000,19281.88333333,19275.85,,,,
1702715230000,19340.46666666,19371.21666666,,,,
1702715235000,19610.11666666,19596.95,,,,
1702715240000,19468.66666666,19510.266666659998,,,,
1702715245000,19787.016666659998,19763.38333333,,,,
1702715250000,19940.36666666,19944.516666659998,,,,
1702715255000,20005.35,20009.08333333,,,,
1702715260000,20066.61666666,20052.21666666,,,,
1702715265000,20157.516666659998,20132.55,,,,
1702715270000,20195.0,20203.85,,,,
1702715275000,20254.33333333,20256.1,,,,
1702715280000,20428.93333333,20438.11666666,,,,
1702715285000,20432.5,20421.733333329998,,,,
1702715290000,20468.63333333,20464.38333333,,,,
1702715295000,20521.38333333,20513.35,,,,
1702715300000,20846.95,20834.016666659998,,,,
1702715305000,20959.7,20980.2,,,,
1702715310000,21019.03333333,20995.233333329998,,,,
1702715315000,21127.35,21133.91666666,,,,
