,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs
,Timestamps_Watermarks____Map,TumblingEventTimeWindows____Timestamps_Watermarks,Sink:_Sink,Source:_Source1,Source:_Source2,Timestamps_Watermarks____Map,TumblingEventTimeWindows____Timestamps_Watermarks,Sink:_Sink,Source:_Source1,Source:_Source2,Timestamps_Watermarks____Map,TumblingEventTimeWindows____Timestamps_Watermarks,Sink:_Sink,Source:_Source1,Source:_Source2
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Timestamp,,,,,,,,,,,,,,,
1737514735000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1737514740000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1619.0,4009000.0,1048.0,-9.223372036854775e+18,-9.223372036854775e+18
1737514745000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,590.0,328000.0,1003.0,-9.223372036854775e+18,-9.223372036854775e+18
1737514750000,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,256000.0,299.0,-9.223372036854775e+18,-9.223372036854775e+18
1737514755000,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,862.0,1273000.0,862.0,-9.223372036854775e+18,-9.223372036854775e+18
1737514760000,6.0,8.0,1.0,0.0,0.0,8.0,1.0,0.0,5.0,0.0,4.0,256000.0,862.0,-9.223372036854775e+18,-9.223372036854775e+18
1737514765000,9.0,19.0,0.0,0.0,0.0,10.0,0.0,0.0,9.0,10.0,132399000.0,256000.0,862.0,-9.223372036854775e+18,-9.223372036854775e+18
1737514770000,9.0,19.0,0.0,0.0,0.0,9.0,0.0,0.0,9.0,9.0,60453000.0,4.0,862.0,-9.223372036854775e+18,-9.223372036854775e+18
1737514775000,9.0,19.0,0.0,0.0,0.0,9.0,0.0,0.0,9.0,9.0,4905000.0,4.0,862.0,-9.223372036854775e+18,-9.223372036854775e+18
1737514780000,9.0,19.0,0.0,0.0,0.0,9.0,0.0,0.0,9.0,9.0,2304000.0,4.0,862.0,-9.223372036854775e+18,-9.223372036854775e+18
1737514785000,,,,,,,,,,,,,,,
1737514805000,9.0,19.0,0.0,0.0,0.0,10.0,0.0,0.0,9.0,9.0,75.0,83.0,5298.0,-9.223372036854775e+18,-9.223372036854775e+18
1737514810000,10.0,19.0,0.0,0.0,0.0,9.0,0.0,0.0,10.0,10.0,69.0,95.0,823.0,-9.223372036854775e+18,-9.223372036854775e+18
1737514815000,9.0,19.0,1.0,0.0,0.0,10.0,1.0,0.0,9.0,9.0,31968000.0,463.0,3.0,-9.223372036854775e+18,-9.223372036854775e+18
1737514820000,9.0,19.0,1.0,0.0,0.0,10.0,1.0,0.0,9.0,9.0,2853000.0,463.0,3.0,-9.223372036854775e+18,-9.223372036854775e+18
1737514825000,9.0,19.0,1.0,0.0,0.0,10.0,1.0,0.0,9.0,9.0,2304000.0,463.0,2.0,-9.223372036854775e+18,-9.223372036854775e+18
1737514830000,9.0,19.0,1.0,0.0,0.0,10.0,1.0,0.0,9.0,9.0,2304000.0,463.0,2.0,-9.223372036854775e+18,-9.223372036854775e+18
1737514835000,9.0,19.0,1.0,0.0,0.0,10.0,1.0,0.0,9.0,9.0,2304000.0,463.0,2.0,-9.223372036854775e+18,-9.223372036854775e+18
1737514840000,9.0,19.0,1.0,0.0,0.0,10.0,1.0,0.0,9.0,9.0,2304000.0,463.0,2.0,-9.223372036854775e+18,-9.223372036854775e+18
1737514845000,9.0,19.0,1.0,0.0,0.0,10.0,1.0,0.0,9.0,9.0,2304000.0,463.0,2.0,-9.223372036854775e+18,-9.223372036854775e+18
1737514850000,9.0,19.0,1.0,0.0,0.0,10.0,1.0,0.0,9.0,9.0,2304000.0,463.0,2.0,-9.223372036854775e+18,-9.223372036854775e+18
1737514855000,9.0,19.0,1.0,0.0,0.0,10.0,1.0,0.0,9.0,9.0,2304000.0,463.0,3.0,-9.223372036854775e+18,-9.223372036854775e+18
1737514860000,9.0,19.0,1.0,0.0,0.0,10.0,1.0,0.0,9.0,9.0,2304000.0,463.0,2.0,-9.223372036854775e+18,-9.223372036854775e+18
1737514865000,9.0,19.0,1.0,0.0,0.0,10.0,1.0,0.0,9.0,9.0,2304000.0,463.0,2.0,-9.223372036854775e+18,-9.223372036854775e+18
