,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond
,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks
,0,1,2,3,4,5,6,7
Timestamp,,,,,,,,
1722262895000,0.0,,,,,,,
1722262900000,0.0,,,,,,,
1722262905000,0.0,,,,,,,
1722262910000,0.0,,,,,,,
1722262915000,0.0,,,,,,,
1722262920000,0.0,,,,,,,
1722262925000,0.0,,,,,,,
1722262930000,0.0,,,,,,,
1722262935000,275.3666666666,,,,,,,
1722262940000,561.9333333333,,,,,,,
1722262945000,828.6333333333,,,,,,,
1722262950000,979.7833333333,,,,,,,
1722262955000,3772.13333333,,,,,,,
1722262960000,6174.25,,,,,,,
1722262965000,12222.783333329999,,,,,,,
1722262970000,13413.48333333,,,,,,,
1722262975000,16000.616666659998,,,,,,,
1722262980000,18374.11666666,,,,,,,
1722262985000,22221.6,,,,,,,
1722262990000,25944.766666659998,,,,,,,
1722262995000,27231.766666659998,,,,,,,
1722263000000,27794.183333330002,,,,,,,
1722263005000,29824.48333333,,,,,,,
1722263010000,31309.9,,,,,,,
1722263015000,30106.0,,,,,,,
1722263020000,29416.0,,,,,,,
1722263025000,25071.1,,,,,,,
1722263030000,25329.71666666,,,,,,,
1722263035000,24577.316666659997,,,,,,,
1722263040000,24152.0,,,,,,,
1722263045000,21539.45,,,,,,,
1722263050000,19506.5,,,,,,,
1722263055000,19554.08333333,,,,,,,
1722263060000,20636.63333333,,,,,,,
1722263065000,20110.11666666,,,,,,,
1722263070000,19762.2,,,,,,,
1722263075000,20323.6,,,,,,,
1722263080000,20037.45,,,,,,,
