,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond
,0,1,2,3
Timestamp,,,,
1702289425000,1000.0,,,
1702289430000,22.0,,,
1702289435000,4.0,,,
1702289440000,140.0,,,
1702289445000,243.0,,,
1702289450000,331.0,,,
1702289455000,443.0,,,
1702289460000,523.0,,,
1702289465000,582.0,,,
1702289470000,629.0,,,
1702289475000,666.0,,,
1702289480000,696.0,,,
1702289485000,722.0,,,
1702289490000,803.0,,,
1702289495000,888.0,,,
1702289500000,937.0,,,
1702289505000,974.0,,,
1702289510000,1000.0,,,
1702289515000,1000.0,,,
1702289520000,1000.0,,,
1702289525000,1000.0,,,
1702289530000,1000.0,,,
1702289535000,1000.0,,,
1702289540000,1000.0,,,
1702289545000,1000.0,,,
1702289550000,1000.0,,,
1702289555000,1000.0,,,
1702289560000,1000.0,,,
1702289565000,1000.0,,,
1702289570000,1000.0,,,
1702289575000,1000.0,,,
1702289580000,1000.0,,,
1702289585000,1000.0,,,
1702289590000,1000.0,,,
1702289595000,1000.0,,,
1702289600000,1000.0,,,
1702289605000,1000.0,,,
1702289610000,1000.0,,,
1702289615000,1000.0,,,
1702289620000,1000.0,,,
1702289625000,1000.0,,,
1702289630000,1000.0,,,
1702289635000,1000.0,,,
1702289640000,1000.0,,,
1702289645000,1000.0,,,
1702289650000,1000.0,,,
1702289655000,1000.0,,,
1702289660000,1000.0,,,
1702289665000,1000.0,,,
1702289670000,1000.0,,,
1702289675000,1000.0,,,
1702289680000,1000.0,,,
1702289685000,1000.0,,,
1702289690000,1000.0,,,
1702289695000,1000.0,,,
1702289700000,1000.0,,,
1702289705000,1000.0,,,
1702289710000,1000.0,,,
1702289715000,1000.0,,,
1702289720000,1000.0,,,
1702289725000,1000.0,,,
1702289730000,1000.0,,,
1702289735000,1000.0,,,
1702289740000,1000.0,,,
1702289745000,1000.0,,,
1702289750000,1000.0,,,
1702289755000,1000.0,,,
1702289760000,1000.0,,,
1702289765000,1000.0,,,
1702289770000,1000.0,,,
1702289775000,1000.0,,,
1702289780000,1000.0,,,
1702289785000,1000.0,,,
1702289790000,1000.0,,,
1702289795000,1000.0,,,
1702289800000,1000.0,,,
1702289805000,1000.0,,,
1702289810000,1000.0,,,
1702289815000,1000.0,,,
1702289820000,1000.0,,,
1702289825000,1000.0,,,
1702289830000,1000.0,,,
1702289835000,1000.0,,,
1702289840000,1000.0,,,
1702289845000,1000.0,,,
1702289850000,1000.0,,,
1702289855000,1000.0,,,
1702289860000,,,,
1702289910000,1000.0,1000.0,,
1702289915000,1000.0,641.0,,
1702289920000,523.0,502.0,,
1702289925000,762.0,629.0,,
1702289930000,841.0,691.0,,
1702289935000,881.0,731.0,,
1702289940000,905.0,763.0,,
1702289945000,921.0,781.0,,
1702289950000,932.0,797.0,,
1702289955000,941.0,799.0,,
1702289960000,947.0,789.0,,
1702289965000,953.0,798.0,,
1702289970000,957.0,810.0,,
1702289975000,961.0,834.0,,
1702289980000,1000.0,872.0,,
1702289985000,1000.0,881.0,,
1702289990000,1000.0,866.0,,
1702289995000,1000.0,864.0,,
1702290000000,1000.0,865.0,,
1702290005000,997.0,873.0,,
1702290010000,997.0,877.0,,
1702290015000,997.0,881.0,,
1702290020000,997.0,900.0,,
1702290025000,997.0,902.0,,
1702290030000,997.0,897.0,,
1702290035000,997.0,896.0,,
1702290040000,997.0,902.0,,
1702290045000,997.0,901.0,,
1702290050000,997.0,922.0,,
1702290055000,997.0,924.0,,
1702290060000,997.0,929.0,,
1702290065000,1000.0,931.0,,
1702290070000,1000.0,934.0,,
