Timestamp,flink_jobmanager_job_lastCheckpointSize
0,-1.0
5,-1.0
10,22464.0
15,22464.0
20,22464.0
25,22464.0
30,22464.0
35,22464.0
40,22464.0
45,22464.0
50,22464.0
55,22464.0
60,180787.0
65,1397687.0
70,1442264.0
75,1789435.0
80,2030140.0
85,5330839.0
90,6820698.0
95,6176249.0
100,3554854.0
105,6248105.0
110,6248105.0
115,8933533.0
120,2840073.0
125,4900611.0
130,4900611.0
135,7036934.0
140,5980654.0
145,3640929.0
150,6298242.0
155,8640246.0
160,11128432.0
165,3992324.0
170,6839007.0
175,9936088.0
180,8415090.0
185,3989103.0
190,7283851.0
195,10096824.0
200,12657529.0
205,4414887.0
210,7401668.0
215,10796838.0
220,9238408.0
225,4516032.0
230,7660035.0
235,10978593.0
240,13907594.0
245,4953752.0
250,7880539.0
255,7880539.0
260,10774878.0
265,9262353.0
270,4912816.0
275,8504641.0
280,11104302.0
285,14395372.0
290,5109075.0
295,8559044.0
300,11312860.0
305,10355151.0
310,5407269.0
315,8979164.0
320,11855271.0
325,3893997.0
330,6527452.0
335,6527452.0
340,9196499.0
345,3229966.0
350,5517324.0
355,8278215.0
360,10719999.0
365,3247276.0
370,5798955.0
375,8138443.0
380,6926737.0
385,3651279.0
390,5735567.0
395,8537628.0
400,7556504.0
405,3910489.0
410,6614067.0
415,8968479.0
420,
455,-1.0
460,3241583.0
465,6349753.0
470,10026290.0
475,4514021.0
480,7487495.0
485,10862836.0
490,8402839.0
495,8452850.0
500,12684547.0
505,13194752.0
510,5809658.0
515,9653122.0
520,15322381.0
525,5340875.0
530,7735126.0
535,14490984.0
540,5515649.0
545,10214263.0
550,13548137.0
555,5946904.0
560,10438727.0
565,14185469.0
570,12806947.0
575,6920900.0
580,15298372.0
585,13332833.0
590,5625629.0
595,14421910.0
600,12711768.0
605,4971048.0
610,9213443.0
615,12205899.0
620,4773254.0
625,9195928.0
630,11573592.0
635,7103530.0
640,11359277.0
645,15275929.0
650,5097638.0
655,8637305.0
660,8637305.0
665,15963313.0
670,5324975.0
675,8363742.0
680,16272958.0
685,6831572.0
690,10900994.0
695,15720235.0
700,6933083.0
705,10505999.0
710,14325774.0
715,4524524.0
720,8145057.0
725,12399578.0
730,10756014.0
735,9185969.0
740,9185969.0
745,16946662.0
750,6459573.0
755,9993820.0
760,11615297.0
765,5769535.0
770,11322257.0
775,19074449.0
780,6873135.0
785,11825542.0
790,15982674.0
795,6954690.0
800,11779250.0
805,15749753.0
