Parallelism,Mean,StdErr,Predictions
0,0.0,0.0,
1,20557.979518069074,652.5821282412267,
2,38996.27425925266,1074.3380852736461,46958.0
3,61488.37906823218,541.6458726451266,67306.0
4,71195.15484494857,1829.5503723880263,84685.0
