Parallelism,Throughput,ThroughputStdErr,BusyTime,BusyTimeStdErr,Predictions
0,0.0,0.0,,,
1,11590.141481478886,855.8155160103396,805.9090909090909,44.803794230629116,
2,18964.350387592778,1400.2711525438103,840.2261904761905,7.7648110681655504,27946.0
3,29517.092248053632,1746.4020613795274,760.4186046511628,9.092729781231675,39409.0
4,36721.861788606984,2149.514170752493,718.2317073170732,7.663925352114848,51074.0
5,46250.91374998738,3128.7948472035227,678.225,7.746870940902526,64059.0
6,50175.452136737396,4096.989610509214,599.6025641025641,15.854115241776137,77281.0
7,56865.805246895536,2956.4882009227435,592.2936507936507,6.812407574470623,81219.0
8,53573.72179485312,3769.1655883639783,573.9519230769231,10.988721744397075,90935.0
9,59982.69824559444,4022.1950006016255,524.7368421052631,14.593789826456899,89522.0
