,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond
,0,1,2,3,4,5,6,7
Timestamp,,,,,,,,
1706107950000,1000.0,721.0,713.0,,,,,
1706107955000,1000.0,716.0,706.0,,,,,
1706107960000,1000.0,710.0,687.0,,,,,
1706107965000,1000.0,702.0,679.0,,,,,
1706107970000,1000.0,703.0,667.0,,,,,
1706107975000,1000.0,693.0,664.0,,,,,
1706107980000,1000.0,697.0,660.0,,,,,
1706107985000,1000.0,697.0,651.0,,,,,
1706107990000,1000.0,686.0,645.0,,,,,
1706107995000,1000.0,684.0,640.0,,,,,
1706108000000,1000.0,673.0,631.0,,,,,
1706108005000,1000.0,672.0,629.0,,,,,
1706108010000,999.0,671.0,627.0,,,,,
1706108015000,999.0,673.0,635.0,,,,,
1706108020000,999.0,686.0,654.0,,,,,
1706108025000,999.0,701.0,660.0,,,,,
1706108030000,999.0,706.0,663.0,,,,,
1706108035000,995.0,710.0,,,,,,
1706108040000,,,,,,,,
1706108085000,1000.0,,1000.0,1000.0,,,,
1706108090000,760.0,502.0,635.0,513.0,,,,
1706108095000,751.0,341.0,391.0,347.0,,,,
1706108100000,724.0,322.0,359.0,328.0,,,,
1706108105000,793.0,468.0,481.0,407.0,,,,
1706108110000,834.0,436.0,440.0,386.0,,,,
1706108115000,862.0,473.0,473.0,424.0,,,,
1706108120000,882.0,506.0,506.0,471.0,,,,
1706108125000,897.0,520.0,523.0,483.0,,,,
1706108130000,908.0,542.0,552.0,513.0,,,,
1706108135000,917.0,551.0,571.0,522.0,,,,
1706108140000,925.0,556.0,584.0,534.0,,,,
1706108145000,931.0,572.0,599.0,558.0,,,,
1706108150000,951.0,582.0,593.0,577.0,,,,
1706108155000,973.0,613.0,636.0,607.0,,,,
1706108160000,1000.0,652.0,664.0,638.0,,,,
1706108165000,1000.0,640.0,656.0,640.0,,,,
1706108170000,1000.0,673.0,691.0,657.0,,,,
1706108175000,1000.0,670.0,695.0,660.0,,,,
1706108180000,1000.0,675.0,696.0,649.0,,,,
1706108185000,1000.0,681.0,695.0,654.0,,,,
1706108190000,1000.0,689.0,694.0,651.0,,,,
1706108195000,1000.0,695.0,695.0,659.0,,,,
1706108200000,1000.0,705.0,696.0,658.0,,,,
1706108205000,1000.0,699.0,691.0,637.0,,,,
1706108210000,1000.0,716.0,705.0,629.0,,,,
1706108215000,1000.0,723.0,703.0,640.0,,,,
1706108220000,1000.0,726.0,710.0,644.0,,,,
1706108225000,1000.0,718.0,706.0,643.0,,,,
1706108230000,1000.0,731.0,710.0,659.0,,,,
1706108235000,1000.0,739.0,711.0,657.0,,,,
1706108240000,1000.0,745.0,705.0,657.0,,,,
1706108245000,1000.0,749.0,707.0,659.0,,,,
1706108250000,1000.0,736.0,704.0,652.0,,,,
1706108255000,1000.0,739.0,697.0,656.0,,,,
1706108260000,1000.0,753.0,695.0,668.0,,,,
1706108265000,1000.0,766.0,697.0,684.0,,,,
1706108270000,1000.0,746.0,685.0,677.0,,,,
1706108275000,1000.0,753.0,689.0,674.0,,,,
1706108280000,1000.0,744.0,686.0,668.0,,,,
1706108285000,1000.0,745.0,687.0,666.0,,,,
1706108290000,1000.0,739.0,683.0,660.0,,,,
1706108295000,1000.0,730.0,683.0,662.0,,,,
1706108300000,1000.0,731.0,691.0,669.0,,,,
1706108305000,1000.0,727.0,689.0,667.0,,,,
1706108310000,1000.0,738.0,681.0,675.0,,,,
1706108315000,1000.0,748.0,688.0,671.0,,,,
1706108320000,1000.0,743.0,688.0,664.0,,,,
1706108325000,1000.0,737.0,684.0,660.0,,,,
