,flink_taskmanager_job_task_busyTimeMsPerSecond
,TumblingEventTimeWindows____Timestamps_Watermarks
,0
Timestamp,
1737806725000,1000.0
1737806730000,586.0
1737806735000,441.0
1737806740000,519.0
1737806745000,640.0
1737806750000,712.0
1737806755000,760.0
1737806760000,794.0
1737806765000,820.0
1737806770000,840.0
1737806775000,856.0
1737806780000,869.0
1737806785000,880.0
1737806790000,915.0
1737806795000,973.0
1737806800000,1000.0
1737806805000,1000.0
1737806810000,1000.0
1737806815000,1000.0
1737806820000,1000.0
1737806825000,1000.0
1737806830000,1000.0
1737806835000,1000.0
1737806840000,1000.0
1737806845000,1000.0
1737806850000,1000.0
1737806855000,1000.0
1737806860000,1000.0
1737806865000,1000.0
1737806870000,1000.0
1737806875000,1000.0
1737806880000,1000.0
1737806885000,1000.0
1737806890000,1000.0
1737806895000,1000.0
1737806900000,1000.0
1737806905000,1000.0
1737806910000,1000.0
1737806915000,1000.0
1737806920000,1000.0
1737806925000,1000.0
1737806930000,1000.0
1737806935000,1000.0
1737806940000,1000.0
1737806945000,1000.0
1737806950000,1000.0
1737806955000,1000.0
1737806960000,1000.0
1737806965000,1000.0
1737806970000,
