,flink_taskmanager_job_task_numRecordsInPerSecond
,TumblingEventTimeWindows____Timestamps_Watermarks
,0
Timestamp,
1736535305000,0.0
1736535310000,0.0
1736535315000,5.233333333333
1736535320000,1545.9333333332997
1736535325000,1979.9166666666
1736535330000,5850.15
1736535335000,6932.75
1736535340000,11088.96666666
1736535345000,14826.15
1736535350000,14826.15
1736535355000,14826.15
1736535360000,14826.15
1736535365000,
1736535380000,0.0
1736535385000,167.8166666666
1736535390000,1541.1
1736535395000,3921.0
1736535400000,3921.0
1736535405000,7830.1
1736535410000,9980.33333333
1736535415000,9980.33333333
1736535420000,11226.06666666
1736535425000,15634.766666659998
1736535430000,
1736535450000,0.0
1736535455000,0.0
1736535460000,874.4
1736535465000,1331.3166666666
1736535470000,4555.55
1736535475000,7986.91666666
1736535480000,12570.15
1736535485000,12570.15
1736535490000,
1736535580000,0.0
1736535585000,1410.7833333333
1736535590000,2271.4
1736535595000,6059.55
1736535600000,9316.55
1736535605000,13132.966666659999
1736535610000,16769.05
1736535615000,19417.28333333
1736535620000,24389.28333333
1736535625000,27202.55
1736535630000,30283.016666659998
1736535635000,30283.016666659998
1736535640000,33887.41666666
1736535645000,34725.06666666
1736535650000,33864.45
1736535655000,30124.833333330003
1736535660000,31529.91666666
1736535665000,29013.11666666
1736535670000,25377.03333333
1736535675000,25239.8
1736535680000,20267.8
1736535685000,23039.61666666
1736535690000,24675.41666666
1736535695000,27405.066666659997
1736535700000,28823.333333330003
1736535705000,32528.316666659997
1736535710000,34948.6
1736535715000,38763.01666666
1736535720000,39907.35
1736535725000,38607.733333330005
1736535730000,41127.4
1736535735000,42279.233333330005
1736535740000,42279.233333330005
1736535745000,37773.18333333
1736535750000,33392.13333333
1736535755000,30662.48333333
1736535760000,
1736535855000,0.0
1736535860000,1121.05
1736535865000,2213.9833333333
1736535870000,5294.75
1736535875000,10679.93333333
1736535880000,16344.65
1736535885000,17286.55
1736535890000,22443.483333329998
1736535895000,22677.0
1736535900000,28028.316666659997
1736535905000,28028.316666659997
1736535910000,28028.316666659997
1736535915000,31077.0
1736535920000,32809.05
1736535925000,31716.11666666
1736535930000,30216.6
1736535935000,28884.03333333
1736535940000,23219.316666659997
1736535945000,25079.55
1736535950000,22512.45
1736535955000,22597.233333329998
1736535960000,20408.1
1736535965000,24324.21666666
1736535970000,29707.23333333
1736535975000,29103.96666666
1736535980000,29226.65
1736535985000,29226.65
1736535990000,31936.61666666
1736535995000,28837.61666666
1736536000000,30135.566666659997
1736536005000,32019.16666666
1736536010000,29429.333333330003
1736536015000,30053.36666666
1736536020000,30051.083333330003
1736536025000,31873.61666666
1736536030000,26871.7
1736536035000,
1736536130000,0.0
1736536135000,1142.2833333333
1736536140000,2282.6
1736536145000,2677.2166666666
1736536150000,6098.733333329999
1736536155000,12341.75
1736536160000,14086.133333329999
1736536165000,14086.133333329999
1736536170000,14086.133333329999
1736536175000,17018.7
1736536180000,22195.75
1736536185000,22195.75
1736536190000,22195.75
1736536195000,23874.4
1736536200000,26083.6
1736536205000,25688.98333333
1736536210000,25863.45
1736536215000,21853.61666666
1736536220000,20865.68333333
1736536225000,25976.35
1736536230000,25976.35
1736536235000,25972.433333330002
1736536240000,25680.133333330003
1736536245000,26866.583333330003
1736536250000,27037.6
1736536255000,30061.73333333
1736536260000,26712.21666666
1736536265000,28698.5
1736536270000,28889.6
1736536275000,26656.41666666
1736536280000,31778.28333333
1736536285000,26667.61666666
1736536290000,28663.133333330003
1736536295000,29778.3
1736536300000,24893.55
1736536305000,27530.833333330003
1736536310000,
1736536410000,0.0
1736536415000,0.0
1736536420000,905.5333333333
1736536425000,2584.6166666666
1736536430000,3072.35
1736536435000,8966.3
1736536440000,8966.3
1736536445000,12853.466666659999
1736536450000,16948.18333333
1736536455000,16948.18333333
1736536460000,16948.18333333
1736536465000,18434.21666666
1736536470000,24225.91666666
1736536475000,25067.46666666
1736536480000,24161.933333330002
1736536485000,24599.45
1736536490000,27814.333333330003
