,flink_taskmanager_job_task_busyTimeMsPerSecond
,TumblingEventTimeWindows____Timestamps_Watermarks
,0
Timestamp,
1737489665000,1000.0
1737489670000,0.0
1737489675000,18.0
1737489680000,44.0
1737489685000,43.0
1737489690000,91.0
1737489695000,188.0
1737489700000,300.0
1737489705000,383.0
1737489710000,448.0
1737489715000,502.0
1737489720000,548.0
1737489725000,585.0
1737489730000,669.0
1737489735000,749.0
1737489740000,824.0
1737489745000,904.0
1737489750000,964.0
1737489755000,991.0
1737489760000,994.0
1737489765000,997.0
1737489770000,999.0
1737489775000,1000.0
1737489780000,1000.0
1737489785000,1000.0
1737489790000,1000.0
1737489795000,1000.0
1737489800000,1000.0
1737489805000,1000.0
1737489810000,1000.0
1737489815000,1000.0
1737489820000,1000.0
1737489825000,1000.0
1737489830000,1000.0
1737489835000,1000.0
1737489840000,1000.0
1737489845000,1000.0
1737489850000,1000.0
1737489855000,1000.0
1737489860000,1000.0
1737489865000,1000.0
1737489870000,1000.0
1737489875000,1000.0
1737489880000,1000.0
1737489885000,1000.0
1737489890000,1000.0
1737489895000,1000.0
1737489900000,1000.0
1737489905000,
