,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond
,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks
,0,1,2
Timestamp,,,
1736778370000,1000.0,,
1736778375000,1000.0,,
1736778380000,948.0,,
1736778385000,862.0,,
1736778390000,850.0,,
1736778395000,862.0,,
1736778400000,862.0,,
1736778405000,862.0,,
1736778410000,862.0,,
1736778415000,862.0,,
1736778420000,862.0,,
1736778425000,862.0,,
1736778430000,862.0,,
1736778435000,862.0,,
1736778440000,902.0,,
1736778445000,977.0,,
1736778450000,1000.0,,
1736778455000,1000.0,,
1736778460000,1000.0,,
1736778465000,1000.0,,
1736778470000,1000.0,,
1736778475000,1000.0,,
1736778480000,1000.0,,
1736778485000,1000.0,,
1736778490000,1000.0,,
1736778495000,1000.0,,
1736778500000,1000.0,,
1736778505000,1000.0,,
1736778510000,1000.0,,
1736778515000,1000.0,,
1736778520000,1000.0,,
1736778525000,1000.0,,
1736778530000,1000.0,,
1736778535000,1000.0,,
1736778540000,1000.0,,
1736778545000,1000.0,,
1736778550000,1000.0,,
1736778555000,1000.0,,
1736778560000,1000.0,,
1736778565000,1000.0,,
1736778570000,,,
1736778630000,,1000.0,
1736778635000,,1000.0,
1736778640000,,937.0,
1736778645000,1000.0,820.0,
1736778650000,1000.0,726.0,
1736778655000,944.0,651.0,
1736778660000,872.0,590.0,
1736778665000,857.0,547.0,
1736778670000,857.0,472.0,
1736778675000,857.0,400.0,
1736778680000,857.0,323.0,
1736778685000,857.0,267.0,
1736778690000,857.0,213.0,
1736778695000,857.0,138.0,
1736778700000,857.0,109.0,
1736778705000,857.0,133.0,
1736778710000,857.0,173.0,
1736778715000,909.0,213.0,
1736778720000,985.0,243.0,
1736778725000,1000.0,265.0,
1736778730000,1000.0,294.0,
1736778735000,1000.0,323.0,
1736778740000,1000.0,390.0,
1736778745000,1000.0,411.0,
1736778750000,1000.0,428.0,
1736778755000,1000.0,503.0,
1736778760000,1000.0,565.0,
1736778765000,1000.0,560.0,
1736778770000,1000.0,561.0,
1736778775000,994.0,573.0,
1736778780000,994.0,587.0,
1736778785000,994.0,603.0,
1736778790000,994.0,609.0,
1736778795000,994.0,617.0,
1736778800000,994.0,610.0,
1736778805000,994.0,622.0,
1736778810000,994.0,609.0,
1736778815000,994.0,579.0,
1736778820000,994.0,573.0,
1736778825000,994.0,637.0,
1736778830000,994.0,682.0,
1736778835000,1000.0,714.0,
1736778840000,1000.0,748.0,
1736778845000,1000.0,736.0,
1736778850000,1000.0,740.0,
1736778855000,1000.0,772.0,
1736778860000,,,
1736778920000,,1000.0,
1736778925000,,1000.0,1000.0
1736778930000,,885.0,963.0
1736778935000,,786.0,841.0
1736778940000,1000.0,707.0,747.0
1736778945000,1000.0,641.0,672.0
1736778950000,930.0,586.0,611.0
1736778955000,847.0,502.0,558.0
1736778960000,826.0,424.0,473.0
1736778965000,826.0,349.0,398.0
1736778970000,826.0,278.0,324.0
1736778975000,826.0,218.0,264.0
1736778980000,826.0,144.0,185.0
1736778985000,826.0,78.0,126.0
1736778990000,826.0,98.0,83.0
1736778995000,826.0,118.0,104.0
1736779000000,826.0,188.0,148.0
1736779005000,826.0,192.0,190.0
1736779010000,896.0,191.0,189.0
1736779015000,974.0,208.0,200.0
1736779020000,995.0,232.0,225.0
1736779025000,995.0,287.0,254.0
1736779030000,995.0,289.0,297.0
1736779035000,995.0,343.0,311.0
1736779040000,995.0,371.0,380.0
1736779045000,992.0,384.0,375.0
1736779050000,992.0,403.0,386.0
1736779055000,992.0,422.0,411.0
1736779060000,992.0,435.0,433.0
1736779065000,992.0,473.0,449.0
1736779070000,992.0,514.0,483.0
1736779075000,998.0,527.0,520.0
1736779080000,998.0,529.0,532.0
1736779085000,998.0,498.0,530.0
1736779090000,998.0,536.0,519.0
1736779095000,998.0,516.0,519.0
1736779100000,998.0,563.0,529.0
1736779105000,1000.0,616.0,593.0
1736779110000,1000.0,654.0,647.0
1736779115000,1000.0,689.0,685.0
1736779120000,1000.0,639.0,664.0
1736779125000,1000.0,661.0,677.0
1736779130000,1000.0,662.0,689.0
1736779135000,1000.0,671.0,684.0
1736779140000,,,
