,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond
,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks
,0,1,2
Timestamp,,,
1736778345000,0.0,,
1736778350000,0.0,,
1736778355000,0.0,,
1736778360000,0.0,,
1736778365000,0.0,,
1736778370000,0.0,,
1736778375000,0.0,,
1736778380000,0.0,,
1736778385000,0.0,,
1736778390000,10.55,,
1736778395000,230.85,,
1736778400000,230.85,,
1736778405000,392.3666666666,,
1736778410000,549.6166666666,,
1736778415000,661.7333333333,,
1736778420000,865.2,,
1736778425000,1231.7,,
1736778430000,1842.4666666666,,
1736778435000,2371.8833333333,,
1736778440000,2371.8833333333,,
1736778445000,2695.1666666666,,
1736778450000,3338.26666667,,
1736778455000,4068.65,,
1736778460000,4638.38333333,,
1736778465000,5291.15,,
1736778470000,5652.23333333,,
1736778475000,5824.46666667,,
1736778480000,5621.0,,
1736778485000,5254.5,,
1736778490000,4643.73333333,,
1736778495000,4114.31666667,,
1736778500000,4114.31666667,,
1736778505000,4443.28333333,,
1736778510000,4130.76666667,,
1736778515000,3874.15,,
1736778520000,4145.18333333,,
1736778525000,4083.81666667,,
1736778530000,4328.15,,
1736778535000,5105.75,,
1736778540000,5114.45,,
1736778545000,5114.45,,
1736778550000,5114.45,,
1736778555000,5114.45,,
1736778560000,5114.45,,
1736778565000,4493.31666667,,
1736778570000,,,
1736778600000,0.0,0.0,
1736778605000,0.0,0.0,
1736778610000,0.0,0.0,
1736778615000,0.0,0.0,
1736778620000,0.0,0.0,
1736778625000,0.0,0.0,
1736778630000,0.0,0.0,
1736778635000,0.0,0.0,
1736778640000,0.0,0.0,
1736778645000,0.0,0.0,
1736778650000,0.0,0.0,
1736778655000,0.0,0.0,
1736778660000,0.0,0.0,
1736778665000,13.183333333333,6.866666666666,
1736778670000,112.0166666666,63.2333333333,
1736778675000,214.0666666666,174.2666666666,
1736778680000,345.95,302.3,
1736778685000,429.43333333329997,368.7166666666,
1736778690000,477.5,510.35,
1736778695000,632.1833333333,611.4166666665999,
1736778700000,923.0,838.1333333333,
1736778705000,1097.1833333333,1088.2833333332999,
1736778710000,1287.85,1182.6333333333,
1736778715000,1675.35,1597.3666666666,
1736778720000,2142.5,1960.25,
1736778725000,2570.1833333333,2413.8166666665998,
1736778730000,3004.55,2914.3,
1736778735000,3211.7333333333004,3200.5833333333003,
