,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs
,Timestamps_Watermarks____Map,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,Sink:_Sink,Source:_Source1,Source:_Source2,Timestamps_Watermarks____Map,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,Sink:_Sink,Source:_Source1,Source:_Source2,Timestamps_Watermarks____Map,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,Sink:_Sink,Source:_Source1,Source:_Source2
,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Timestamp,,,,,,,,,,,,,,,,,,
1736794295000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736794300000,5.0,19.0,,1.0,0.0,0.0,10.0,1.0,,0.0,5.0,8.0,148235000.0,252.0,,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736794305000,9.0,18.0,,1.0,0.0,0.0,9.0,1.0,,0.0,9.0,1.0,835.0,2036.0,,862.0,-9.223372036854775e+18,-9.223372036854775e+18
1736794310000,9.0,19.0,,1.0,0.0,0.0,10.0,1.0,,0.0,9.0,9.0,197604000.0,167.0,,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736794315000,9.0,19.0,,1.0,0.0,0.0,10.0,1.0,,0.0,9.0,9.0,218412000.0,125.0,,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736794320000,10.0,19.0,,1.0,0.0,0.0,10.0,1.0,,0.0,10.0,10.0,19728000.0,6425.0,,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736794325000,9.0,19.0,,1.0,0.0,0.0,10.0,1.0,,0.0,9.0,9.0,73566000.0,3031.0,,862.0,-9.223372036854775e+18,-9.223372036854775e+18
1736794330000,9.0,19.0,,1.0,0.0,0.0,10.0,1.0,,0.0,9.0,9.0,5985000.0,3031.0,,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736794335000,9.0,19.0,,0.0,0.0,0.0,10.0,0.0,,0.0,9.0,9.0,4.0,287.0,,862.0,-9.223372036854775e+18,-9.223372036854775e+18
1736794340000,9.0,19.0,,1.0,0.0,0.0,10.0,1.0,,0.0,9.0,9.0,16236000.0,125.0,,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736794345000,9.0,19.0,,1.0,0.0,0.0,10.0,1.0,,0.0,9.0,9.0,2304000.0,125.0,,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736794350000,9.0,19.0,,1.0,0.0,0.0,10.0,1.0,,0.0,9.0,9.0,2304000.0,125.0,,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736794355000,9.0,19.0,,0.0,0.0,0.0,9.0,0.0,,0.0,9.0,9.0,7.0,223.0,,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736794360000,9.0,19.0,,2.0,0.0,0.0,10.0,2.0,,0.0,9.0,9.0,8460000.0,118.0,,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736794365000,9.0,19.0,,1.0,0.0,0.0,10.0,1.0,,0.0,9.0,9.0,2304000.0,118.0,,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736794370000,9.0,20.0,,0.0,0.0,0.0,10.0,0.0,,0.0,9.0,9.0,2304000.0,7036.0,,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736794375000,9.0,19.0,,0.0,0.0,0.0,10.0,0.0,,0.0,9.0,9.0,1.0,25.0,,862.0,-9.223372036854775e+18,-9.223372036854775e+18
1736794380000,9.0,19.0,,2.0,0.0,0.0,10.0,2.0,,0.0,9.0,9.0,2367000.0,125.0,,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736794385000,9.0,19.0,,1.0,0.0,0.0,10.0,1.0,,0.0,9.0,9.0,2304000.0,125.0,,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736794390000,9.0,19.0,,1.0,0.0,0.0,10.0,1.0,,0.0,9.0,9.0,2628000.0,298.0,,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736794395000,9.0,19.0,,0.0,0.0,0.0,10.0,0.0,,0.0,9.0,9.0,2.0,168.0,,862.0,-9.223372036854775e+18,-9.223372036854775e+18
1736794400000,9.0,19.0,,1.0,0.0,0.0,10.0,1.0,,0.0,9.0,9.0,4554000.0,105.0,,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736794405000,9.0,19.0,,1.0,0.0,0.0,10.0,1.0,,0.0,9.0,9.0,2304000.0,105.0,,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736794410000,9.0,19.0,,0.0,0.0,0.0,10.0,0.0,,0.0,9.0,6.0,3.0,100.0,,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736794415000,9.0,19.0,,1.0,0.0,0.0,9.0,1.0,,0.0,9.0,9.0,2304000.0,118.0,,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736794420000,10.0,20.0,,0.0,0.0,0.0,11.0,0.0,,0.0,10.0,2.0,1.0,113.0,,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736794425000,9.0,19.0,,1.0,0.0,0.0,9.0,1.0,,0.0,9.0,9.0,5643000.0,202.0,,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736794430000,9.0,19.0,,1.0,0.0,0.0,9.0,1.0,,0.0,9.0,9.0,2304000.0,202.0,,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736794435000,2.0,19.0,,0.0,0.0,0.0,9.0,0.0,,0.0,2.0,9.0,2.0,105.0,,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736794440000,9.0,19.0,,1.0,0.0,0.0,9.0,1.0,,0.0,9.0,9.0,2304000.0,559.0,,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736794445000,9.0,19.0,,1.0,0.0,0.0,9.0,1.0,,0.0,9.0,9.0,2304000.0,559.0,,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736794450000,9.0,19.0,,1.0,0.0,0.0,9.0,1.0,,0.0,9.0,9.0,7695000.0,118.0,,0.0,-9.223372036854775e+18,-9.223372036854775e+18
